# @(#) $Id$
# Freight rail lines around Munich, just roughly digitised from memory.
4
       11.1770217840        48.2459921180
       11.1754779720        48.2460317460
       11.0660732820        48.2571428720
       11.0000000000        48.2624344890
36
       11.1770217840        48.2459921180
       11.1701466630        48.2466143990
       11.1631003420        48.2481355840
       11.1561660500        48.2504607040
       11.1496270150        48.2534947890
       11.1437664680        48.2571428720
       11.1385707650        48.2614125630
       11.1336786310        48.2664594810
       11.1293231000        48.2720699650
       11.1257372080        48.2780303570
       11.1231539900        48.2841269970
       11.1215528120        48.2910465360
       11.1209772510        48.2985522960
       11.1213608360        48.3062490800
       11.1226370970        48.3137416900
       11.1247395630        48.3206349310
       11.1285932280        48.3272159510
       11.1341093710        48.3331115570
       11.1403941600        48.3387325250
       11.1465537630        48.3444896340
       11.1516943480        48.3507936600
       11.1562443200        48.3584566290
       11.1602985440        48.3665337080
       11.1638219130        48.3749062830
       11.1667793220        48.3834557410
       11.1691356650        48.3920634690
       11.1706605530        48.4004309360
       11.1714817610        48.4089735060
       11.1718576400        48.4176180600
       11.1720465400        48.4262914780
       11.1723068110        48.4349206390
       11.1727694350        48.4479241540
       11.1730007470        48.4609462050
       11.1730007470        48.4739744340
       11.1727694350        48.4869964850
       11.1723068110        48.5000000000
2
       11.2608581770        48.2501928390
       11.2929800330        48.2580359570
4
       11.2929800330        48.2580359570
       11.3023239730        48.2603174450
       11.3927017800        48.2857142980
       11.5000000000        48.3129260790
31
       11.1770217840        48.2459921180
       11.1728683420        48.2442028510
       11.1687971230        48.2419783420
       11.1649041100        48.2393825890
       11.1612852880        48.2364795910
       11.1580366400        48.2333333490
       11.1549150910        48.2298766720
       11.1517491770        48.2259722390
       11.1490341340        48.2218913810
       11.1472651960        48.2179054300
       11.1469375990        48.2142857160
       11.1478336790        48.2114779800
       11.1494499760        48.2086902320
       11.1515695790        48.2060365110
       11.1539755790        48.2036308560
       11.1564510670        48.2015873040
       11.1604015680        48.1994512510
       11.1650468160        48.1981371610
       11.1700951750        48.1974149070
       11.1752550120        48.1970543630
       11.1802346910        48.1968254000
       11.1884545460        48.1966893930
       11.1970852600        48.1972050790
       11.2055699850        48.1985824190
       11.2133518720        48.2010313710
       11.2198740750        48.2047618930
       11.2234073310        48.2078645820
       11.2266959760        48.2114474930
       11.2296450090        48.2153838230
       11.2321594320        48.2195467690
       11.2341442460        48.2238095250
2
       11.2341442460        48.2238095250
       11.2608581770        48.2501928390
2
       11.1770217840        48.2459921180
       11.2119629140        48.2450952250
3
       11.5000000000        48.1815280100
       11.3911161780        48.2222222240
       11.2929800330        48.2580359570
